report_id,stock_code,stock_name,report_title,report_date,report_type,analyst_name,company_name,rating,opinion_change,target_price,current_price,upside_potential,investment_rationale,created_at
4c537365-48d4-4a51-8736-fef693ae869a,000000,디앤디파마텍의,디앤디파마텍의 주요 파이프라인 중 하나인 MASH 치료제 DD01의 임상2상 1차,2025-06-12,기업분석,본인의,상상인증권,매수,유지,,97400,,"디앤디파마텍의 주요 파이프라인 중 하나인 MASH 치료제 DD01의 임상2상 1차 평가지표(12주차 지방간 30% 이상 감소비율, 블라인드)가 6월 중 발표 예정, 이에 대한 기대감이 존재한다. DD01은 GLP-1/GCG 이중작용제로 3월말 기준 12주 투약이 종료된 환자 50명에 대한 지방간 측정을 완료하였고 70% 이상 지방간이 감소한 비중이 30%이상이다. 또한 투약 용량(40mg)도 베링거인겔하임의",2025-07-06 02:21:44
cccbc407-7f7c-4a2c-9191-9ccd7eb70b80,000000,genetic,"동사는 인공지능을 활용, 인간 유전체(genome)에서 발견되는 수많은 유전변이",2025-01-20,기업분석,본인의,상상인증권,매수,유지,,7520,,"동사는 인공지능을 활용, 인간 유전체(genome)에서 발견되는 수많은 유전변이 (genetic variant)의 병원성(pathogenicity, 질병을 일으킬 가능성)에 대해 판독하는 매출액은 58억원, 영업손실 74억원이었다. 2025년 1분기 매출액은 전년 동기대비 115.7% 증가한 20억원, 영업손실 20억원을 기록했다(표2). 매출 규모가 작지만 빠르게 성장하며 당사 리서치 예상 수준을 살짝 넘어서고 있다. 2025년 1분기 기준",2025-07-06 02:21:45
26f51a84-f6ff-4719-9415-554c411567bf,000000,년부터,2024년부터 자회사 실적 개선에 따라 동아쏘시오홀딩스의 연결 영업실적 성장이,2024-08-09,기업분석,본인의,상상인증권,매수,유지,,117900,27.2,"2024년부터 자회사 실적 개선에 따라 동아쏘시오홀딩스의 연결 영업실적 성장이 뚜렷하다. 2025년 1분기에도 연결기준 매출액은 전년 동기 대비 7.7% 증가한 3,284억원, 영업이익은 30.9% 증가한 204억원을 기록한 바 있다. 동아제약, 에스티젠바이오, 용마로지스의 매출 증가 폭이 컸고, 에스티젠바이오와 용마로지스의 이익 개선이 뚜렷했다. 이러한 실적 성장은 하반기에 더 뚜렷해질 전망이다.",2025-07-06 02:21:46
a268c490-ad47-4258-a60d-18e36bf94555,000000,신세계인터내셔날의,"계약 종료, 효율화 및 구조조정 효과 등이 동시다발적으로 이뤄졌기 때문이다. 그러나, 패션 및",2024-01-04,기업분석,본인의,상상인증권,매수,유지,,11350,58.6,"신세계인터내셔날의 연결 실적은 1Q25 매출액 3,042억원, 영업이익 47억원을 기록했으며, 2Q25 매출액 3,195억원, 영업이익 70억원을 기록할 전망이다. 2023년부터 지속적인 실적 계약 종료, 효율화 및 구조조정 효과 등이 동시다발적으로 이뤄졌기 때문이다. 그러나, 패션 및 화장품 부문 내 신규 브랜드 도입을 꾸준히 확대하고, 상품 믹스 개선 등 수익성 중심의 경영 KOSPI(06/18) 2,972.2pt 전략을 실시함에 따라 역성장세는 2Q25 중 마무리될 것으로 예상한다.",2025-07-06 02:21:49
70ccf211-2467-489b-80f0-26eb7c5e365e,000000,있다.,"동사의 사업구조는 크게 의료로봇, 임플란트(상품 중심) 및 무역사업으로 구성되어",2025-03-17,기업분석,본인의,상상인증권,매수,유지,30000.0,9370,220.2,"동사의 사업구조는 크게 의료로봇, 임플란트(상품 중심) 및 무역사업으로 구성되어 있다. 의료로봇사업에서는 정형외과 수술로봇인 큐비스-조인트(Cuvis-joint), 큐비스- 스파인(Cuvis-spine), 재활 치료로봇인 모닝워크(Morning Walk) 및 기타 의료기기가 있다. 2024년 연간 매출액은 555억원(YoY -23.8%), 영업적자 58억원(YoY 적자전환)이었으나, 2025년 1분기 매출액은 197억원(YoY +41.4%), 영업이익은",2025-07-06 02:21:50
4acdcd5a-5286-4430-bba8-18a9ee7da364,000000,비중은,"동사는 터널 및 SOC 등 토목 사업 위주의 전문 건설업체로, 터널 현장의 매출",2024-03-20,기업분석,본인의,상상인증권,매수,유지,,7560,,"동사는 터널 및 SOC 등 토목 사업 위주의 전문 건설업체로, 터널 현장의 매출 비중은 전년 별도 매출액 기준 83.3%에 달한다. 특히 Shield, Front Jacking 등 사용하는 NATM 공법은 지반 손상 및 민원 등을 초래한다. 반면 비개착공법은 표면 영향을 최소화함으로써 도심지 인프라 시공에 적합하여, 교통 및 일상생활 피해를 KOSDAQ(06/23) 784.8pt 최소화할 수 있다는 점에서 선호도가 높은 편이다. 높은 시공 경쟁력을 바탕으로",2025-07-06 02:21:52
dfdae637-0a48-4f41-b21d-5d61867a4121,000000,바이오포트는,"바이오포트는 스낵류, 액상차, 파우치 음료, 건강기능식품 등에 대한 제조 및 판매 사업을 영위하는",2004-11-16,기업분석,본인의,상상인증권,매수,유지,,20400,,"바이오포트는 스낵류, 액상차, 파우치 음료, 건강기능식품 등에 대한 제조 및 판매 사업을 영위하는 업체로, 2004년 설립되어 지난 5월 16일 스팩 합병을 통해 상장하였다. 주요 납품처로는 국내 및 해외 카테고리별 매출 비중은 스낵 32%, 액상차 27%, 파우치음료 15%, 건강기능식품 및 상품 27%로 구성되어 있다. 동사의 주요 제품은 크게 세 가지 형태로, 1) 자체 브랜드 제품, 2) 고객사의 니즈에 부합하는 제품을 개발하여 해당 유통회사의 브랜드로 판매되는 PB제품, 3) 건강기능식품 원료 등이 있으며, 이밖에",2025-07-06 02:21:54
6b67689c-fe34-4b75-973c-5b4f2fed5753,000000,지혈재이다.,"동사의 주력 제품은 위/ 대장에서 용종 제거, 질병에 의한 출혈 발생 시 처방되는",2024-12-10,기업분석,본인의,상상인증권,매수,유지,,45850,17.8,"동사의 주력 제품은 위/ 대장에서 용종 제거, 질병에 의한 출혈 발생 시 처방되는 지혈재이다. 2024년 매출액은 전년대비 95.5% 증가한 95억원, 영업적자 36억원을 기록했고, 2025년 1분기에는 매출액 38억원(YoY +59.2%), 영업적자 7억원을 기록했다. 2025년 1분기 기준 주요 제품 매출 비중은 내시경용지혈재 82.6%, 혈관색전 미립구 7.9%, 혈관색전미립구-F 9.2%이다. 특히 수출 비중이 94.6%이다.",2025-07-06 02:21:55
6d4d3137-f60a-4bff-b5b8-24f216480068,000000,종가,동사의 핵심 Pipeline인 CAR-T 치료제 안발셀(제품명 림카토주)에 대한 기대가,2025-06-25,기업분석,본인의,상상인증권,매수,유지,,33000,,"동사의 핵심 Pipeline인 CAR-T 치료제 안발셀(제품명 림카토주)에 대한 기대가 크다. 안발셀은 재발성/불응성 DLBCL (미만성 거대 B세포 림프종) 환자 79명 대상, 서울 3개 종합병원 등 전체 6개 병원에서 임상 2상을 완료하고, 2024년 5월에 임상 2상 최종 결과(CSR 보고서)를 수령했다. 그 결과, 객관적 반응률(ORR)은 75.3% (유효 분석군 73명 중 55명), 완전관해(CR)은 67.1%(73명 중 49명)이다. 또한 안정성",2025-07-06 02:21:56
dec4276b-7540-48e5-adbf-30cb6353e1b4,000000,토비스의,"부품/전장부품사업자로 LG디스플레이, 현대모비스, 덴소, 콘티넨탈(4분기 예정)이",2025-06-26,기업분석,본인의,상상인증권,매수,유지,,14890,,"토비스의 사업부문은 차량용 디스플레이(53%), 카지노 및 산업용 디스플레이(40%), 기타(7%) 로 구성되어 있다. 전장용 디스플레이 사업의 주 고객사는 Tier1 부품/전장부품사업자로 LG디스플레이, 현대모비스, 덴소, 콘티넨탈(4분기 예정)이 있다. 동사에서 생산된 차량용 디스플레이 제품은 Tier 1 부품사를 거쳐 현대차의 일부 EV 차종, 기아의 K5, 쏘렌토 등 Volume 차종에 탑재된다. 최근 국내",2025-07-06 02:21:57
